"Metropolitan Statistical Area","Johnstown, PA",131730
"Metropolitan Statistical Area","Manhattan, KS",130574
"Metropolitan Statistical Area","The Villages, FL",128754
"Metropolitan Statistical Area","Bismarck, ND",128320
"Metropolitan Statistical Area","Mount Vernon - Anacortes, WA",128206
"Metropolitan Statistical Area","Jamestown - Dunkirk - Fredonia, NY",127939
"Metropolitan Statistical Area","Albany - Lebanon, OR",127335
"Metropolitan Statistical Area","Sierra Vista - Douglas, AZ",126770
"Metropolitan Statistical Area","St. Joseph, MO-KS",126490
"Metropolitan Statistical Area","Pittsfield, MA",126348
"Metropolitan Statistical Area","Lawton, OK",126198
"Metropolitan Statistical Area","Glens Falls, NY",125462
"Metropolitan Statistical Area","New Bern, NC",125219
"Metropolitan Statistical Area","Farmington, NM",125043
"Metropolitan Statistical Area","Ames, IA",124451
"Metropolitan Statistical Area","Cleveland, TN",123625
"Metropolitan Statistical Area","Goldsboro, NC",123248
"Metropolitan Statistical Area","Staunton, VA",123007
"Metropolitan Statistical Area","Altoona, PA",122492
"Metropolitan Statistical Area","Augusta - Waterville, ME",122083
"Metropolitan Statistical Area","Lawrence, KS",121436
"Metropolitan Statistical Area","Mansfield, OH",121099
"Metropolitan Statistical Area","San Germán, PR",121078
"Metropolitan Statistical Area","San Angelo, TX",121022
"Metropolitan Statistical Area","Wenatchee, WA",119943
"Metropolitan Statistical Area","Owensboro, KY",119114
"Metropolitan Statistical Area","Missoula, MT",118791
"Metropolitan Statistical Area","Brunswick, GA",118456
"Metropolitan Statistical Area","Holland, MI",117327
"Metropolitan Statistical Area","Beckley, WV",117272
"Metropolitan Statistical Area","Weirton - Steubenville, WV-OH",117064
"Metropolitan Statistical Area","Wooster, OH",115967
"Metropolitan Statistical Area","Sheboygan, WI",115456
"Metropolitan Statistical Area","Muncie, IN",114772
"Metropolitan Statistical Area","Anniston - Oxford, AL",114277
"Metropolitan Statistical Area","Williamsport, PA",113664
"Metropolitan Statistical Area","Cookeville, TN",112669
"Metropolitan Statistical Area","California - Lexington Park, MD",112664
"Metropolitan Statistical Area","Bozeman, MT",111876
"Metropolitan Statistical Area","Watertown - Fort Drum, NY",111755
"Metropolitan Statistical Area","Show Low, AZ",110445
"Metropolitan Statistical Area","Roseburg, OR",110283
"Metropolitan Statistical Area","Twin Falls, ID",110096
"Metropolitan Statistical Area","Kankakee, IL",110024
"Metropolitan Statistical Area","Michigan City - La Porte, IN",110007
"Metropolitan Statistical Area","Longview, WA",108987
"Metropolitan Statistical Area","Ogdensburg - Massena, NY",108047
"Metropolitan Statistical Area","Lewiston - Auburn, ME",107679
"Metropolitan Statistical Area","Richmond - Berea, KY",106566
"Metropolitan Statistical Area","Bluefield, WV-VA",106279
"Metropolitan Statistical Area","Sebring - Avon Park, FL",105424
"Metropolitan Statistical Area","Decatur, IL",104712
"Metropolitan Statistical Area","Tullahoma - Manchester, TN",104001
"Metropolitan Statistical Area","Bay City, MI",103923
"Metropolitan Statistical Area","Whitewater, WI",103718
"Metropolitan Statistical Area","LaGrange, GA-AL",103649
"Metropolitan Statistical Area","Fond du Lac, WI",103066
"Metropolitan Statistical Area","Gettysburg, PA",102811
"Metropolitan Statistical Area","Ithaca, NY",102793
"Metropolitan Statistical Area","Salem, OH",102665
"Metropolitan Statistical Area","Lima, OH",102663
"Metropolitan Statistical Area","Gadsden, AL",102501
"Metropolitan Statistical Area","Grand Forks, ND-MN",102299
"Metropolitan Statistical Area","Kalispell, MT",102106
"Metropolitan Statistical Area","Mankato, MN",101647
"Metropolitan Statistical Area","Danville, VA",101642
"Metropolitan Statistical Area","Meridian, MS",100948
"Metropolitan Statistical Area","Truckee - Grass Valley, CA",99696
"Metropolitan Statistical Area","Victoria, TX",99619
"Metropolitan Statistical Area","Hot Springs, AR",99154
